# 063855f3
Energy: Fighting, Grass
2 B3 076
1 B3 125
2 B3 126
1 B3 148
1 P-A 002
2 P-A 005
2 P-A 007

# b1254e68
Energy: Fighting, Grass
1 A2 148
1 A2 150
1 A2b 070
2 A3 144
1 A3 155
1 B1 121
2 B1 225
1 B2 145
1 B2 147
1 B2a 093
2 B3 076
1 B3 125
2 B3 126
1 P-A 005
2 P-A 007

# b51090a4
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 B1 121
1 B1 177
2 B1 225
1 B2 017
1 B2 145
1 B2 147
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# b8a24e3e
Energy: Fighting, Grass
2 A3 144
1 A3 155
1 A3b 067
2 B1 121
1 B1 225
1 B2 145
1 B2a 007
1 B2a 009
1 B2a 093
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007

# bdc3fd0e
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 B1 121
2 B1 177
1 B1 223
1 B1 225
2 B3 076
1 B3 125
2 B3 126
2 P-A 002
2 P-A 005
2 P-A 007

# bfb13b1a
Energy: Fighting, Grass
1 A1 087
1 A1 089
1 A2 148
1 A2 150
2 A3 144
1 B1 121
1 B1 177
2 B1 225
2 B3 076
1 B3 125
2 B3 126
1 B3a 071
2 P-A 005
2 P-A 007

# c3bfa868
Energy: Fighting, Grass
1 A2 150
2 A3 144
1 A3 155
1 B1 121
2 B1 177
2 B1 225
1 B2 145
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# c4c52423
Energy: Fighting, Grass
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
2 B1 121
2 B1 225
1 B2 147
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# c7773a74
Energy: Fighting, Grass
1 A2 148
1 A2 150
2 A3 144
1 B1 121
2 B1 225
1 B2 017
2 B2 145
1 B2b 069
2 B3 076
1 B3 125
2 B3 126
2 P-A 005
2 P-A 007

# d14659ea
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
2 B1 121
2 B1 225
2 B2 145
1 B2b 069
2 B3 076
2 B3 126
2 P-A 005
2 P-A 007

# d6da1cc1
Energy: Fighting, Grass
2 A2 148
1 A2 150
1 A2b 070
2 A3 144
1 A3 155
2 B1 121
2 B1 225
1 B2 145
2 B3 076
2 B3 126
1 P-A 002
1 P-A 005
2 P-A 007

# d7ec522e
Energy: Fighting, Grass
2 A2 150
2 A3 144
1 A4 110
1 B1 121
1 B1 177
2 B1 225
1 B1a 006
2 B3 076
1 B3 125
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007

# f8b4611e
Energy: Fighting, Grass
2 A2 148
1 A2 150
2 A3 144
2 B1 109
1 B1 121
2 B1 225
1 B2 145
2 B3 076
2 B3 126
1 B3 147
2 P-A 005
2 P-A 007

# fd35b50b
Energy: Fighting, Grass
1 A2 148
2 A2 150
2 A3 144
1 B1 109
1 B1 121
1 B1 225
2 B2 145
2 B3 076
2 B3 126
1 B3a 071
1 P-A 002
2 P-A 005
2 P-A 007

# fe5381c2
Energy: Fighting, Grass
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
1 B1 121
2 B1 177
2 B1 225
1 B2 145
2 B3 076
2 B3 126
1 P-A 002
2 P-A 005
2 P-A 007
