ID       Name                   Status
A3a 041  Krookodile             Attack effect not implemented
A3a 058  Bewear                 Attack effect not implemented
A3a 063  Beast Wall             Trainer logic not implemented
A3a 066  Beastite               Tool not implemented
A3a 068  Looker                 Trainer logic not implemented
A3a 073  Alolan Meowth          Attack effect not implemented
A3a 082  Looker                 Trainer logic not implemented
A3b 002  Leafeon                Attack effect not implemented
A3b 005  Tsareena               Attack effect not implemented
A3b 027  Galvantula             Attack effect not implemented
A3b 035  Mimikyu                Attack effect not implemented
A3b 045  Purrloin               Attack effect not implemented
A3b 054  Drampa                 Attack effect not implemented
A3b 059  Ambipom                Ability not implemented
A3b 069  Penny                  Trainer logic not implemented
A3b 070  Leafeon                Attack effect not implemented
A3b 086  Penny                  Trainer logic not implemented
A4 003   Bellossom              Attack effect not implemented
A4 005   Tangrowth              Attack effect not implemented
A4 015   Jumpluff               Ability not implemented
A4 023   Cherubi                Ability not implemented
A4 033   Entei                  Attack effect not implemented
A4 037   Heatmor                Attack effect not implemented
A4 040   Politoed               Ability not implemented
A4 045   Gyarados               Attack effect not implemented
A4 050   Azumarill              Ability not implemented
A4 056   Octillery              Attack effect not implemented
A4 063   Swanna                 Attack effect not implemented
A4 065   Lanturn ex             Attack effect not implemented
A4 082   Xatu                   Attack effect not implemented
A4 084   Unown                  Ability not implemented
A4 085   Unown                  Ability not implemented
A4 086   Wobbuffet              Attack effect not implemented
A4 091   Musharna               Attack effect not implemented
A4 118   Houndoom               Attack effect not implemented
A4 119   Tyranitar              Ability not implemented
A4 130   Fearow                 Attack effect not implemented
A4 133   Kangaskhan             Attack effect not implemented
A4 136   Porygon2               Ability not implemented
A4 140   Hoothoot               Ability not implemented
A4 142   Aipom                  Attack effect not implemented
A4 148   Smeargle               Attack effect not implemented
A4 152   Squirt Bottle          Trainer logic not implemented
A4 154   Dark Pendant           Tool not implemented
A4 155   Rescue Scarf           Tool not implemented
A4 159   Fisher                 Trainer logic not implemented
A4 161   Hiker                  Trainer logic not implemented
A4 163   Bellossom              Attack effect not implemented
A4 169   Octillery              Attack effect not implemented
A4 174   Xatu                   Attack effect not implemented
A4 175   Wobbuffet              Attack effect not implemented
A4 179   Tyranitar              Ability not implemented
A4 182   Hoothoot               Ability not implemented
A4 184   Smeargle               Attack effect not implemented
A4 189   Lanturn ex             Attack effect not implemented
A4 199   Fisher                 Trainer logic not implemented
A4 201   Hiker                  Trainer logic not implemented
A4 204   Lanturn ex             Attack effect not implemented
A4 215   Gyarados               Attack effect not implemented
A4 225   Nidoqueen              Attack effect not implemented
A4a 006  Celebi                 Attack effect not implemented
A4a 016  Tentacruel             Attack effect not implemented
A4a 018  Slowking               Attack effect not implemented
A4a 031  Boltund                Attack effect not implemented
A4a 035  Galarian Cursola       Ability not implemented
A4a 037  Latios                 Ability not implemented
A4a 041  Dugtrio                Attack effect not implemented
A4a 042  Poliwrath ex           Attack effect not implemented
A4a 048  Seviper                Attack effect not implemented
A4a 062  Miltank                Attack effect not implemented
A4a 063  Azurill                Attack effect not implemented
A4a 068  Memory Light           Tool not implemented
A4a 069  Whitney                Trainer logic not implemented
A4a 070  Traveling Merchant     Trainer logic not implemented
A4a 071  Morty                  Trainer logic not implemented
A4a 075  Latios                 Ability not implemented
A4a 077  Azurill                Attack effect not implemented
A4a 082  Poliwrath ex           Attack effect not implemented
A4a 083  Whitney                Trainer logic not implemented
A4a 084  Traveling Merchant     Trainer logic not implemented
A4a 085  Morty                  Trainer logic not implemented
A4a 089  Poliwrath ex           Attack effect not implemented
A4a 097  Pyukumuku              Ability not implemented
A4b 018  Jumpluff               Ability not implemented
A4b 019  Jumpluff               Ability not implemented
A4b 025  Cherubi                Ability not implemented
A4b 026  Cherubi                Ability not implemented
A4b 076  Heatran                Ability not implemented
A4b 077  Heatran                Ability not implemented
A4b 122  Wishiwashi             Attack effect not implemented
A4b 123  Wishiwashi             Attack effect not implemented
A4b 124  Wishiwashi ex          Attack effect not implemented
A4b 142  Lanturn ex             Attack effect not implemented
A4b 235  Alolan Muk ex          Attack effect not implemented
B1 010   Shiftry                Attack effect not implemented
B1 018   Lilligant              Ability not implemented
B1 027   Rillaboom              Ability not implemented
B1 029   Arcanine               Attack effect not implemented
B1 032   Ho-Oh                  Attack effect not implemented
B1 055   Ludicolo               Attack effect not implemented
B1 060   Luvdisc                Attack effect not implemented
B1 080   Eiscue                 Ability not implemented
B1 084   Ampharos               Attack effect not implemented
B1 094   Dedenne                Attack effect not implemented
B1 105   Dusknoir               Ability not implemented
B1 114   Gothitelle             Attack effect not implemented
B1 129   Hippowdon              Attack effect not implemented
B1 134   Archeops               Attack effect not implemented
B1 136   Golurk                 Attack effect not implemented
B1 140   Crabominable           Attack effect not implemented
B1 153   Drapion                Attack effect not implemented
B1 176   Druddigon              Attack effect not implemented
B1 186   Ambipom                Attack effect not implemented
B1 194   Delcatty               Ability not implemented
B1 203   Stoutland              Attack effect not implemented
B1 213   Prank Spinner          Trainer logic not implemented
B1 215   Hitting Hammer         Trainer logic not implemented
B1 218   Sitrus Berry           Tool not implemented
B1 220   Lucky Mittens          Tool not implemented
B1 222   Hala                   Trainer logic not implemented
B1 229   Rillaboom              Ability not implemented
B1 233   Ludicolo               Attack effect not implemented
B1 236   Eiscue                 Ability not implemented
B1 241   Hippowdon              Attack effect not implemented
B1 242   Archeops               Attack effect not implemented
B1 248   Delcatty               Ability not implemented
B1 249   Stoutland              Attack effect not implemented
B1 267   Hala                   Trainer logic not implemented
B1 313   Persian                Attack effect not implemented
B1 316   Bidoof                 Attack effect not implemented
B1 329   Lilligant              Ability not implemented
B1a 035  Spritzee               Attack effect not implemented
B1a 048  Liepard                Attack effect not implemented
B2 002   Ledian                 Attack effect not implemented
B2 005   Roserade               Attack effect not implemented
B2 014   Buzzwole               Attack effect not implemented
B2 016   Eldegoss               Attack effect not implemented
B2 022   Oricorio               Attack effect not implemented
B2 032   Delibird               Attack effect not implemented
B2 042   Aurorus                Attack effect not implemented
B2 050   Alolan Raichu          Ability not implemented
B2 053   Minun                  Attack effect not implemented
B2 055   Toxtricity ex          Attack effect not implemented
B2 075   Polteageist            Ability not implemented
B2 076   Indeedee               Attack effect not implemented
B2 078   Sandslash              Attack effect not implemented
B2 079   Machop                 Attack effect not implemented
B2 087   Gigalith ex            Attack effect not implemented
B2 090   Tyrantrum              Attack effect not implemented
B2 092   Falinks                Ability not implemented
B2 097   Alolan Muk             Ability not implemented
B2 103   Spiritomb              Ability not implemented
B2 104   Purrloin               Attack effect not implemented
B2 107   Scrafty                Attack effect not implemented
B2 108   Yveltal                Attack effect not implemented
B2 109   Guzzlord               Attack effect not implemented
B2 111   Galarian Perrserker    Ability not implemented
B2 117   Galarian Stunfisk      Attack effect not implemented
B2 120   Aegislash              Attack effect not implemented
B2 130   Smeargle               Ability not implemented
B2 131   Lugia                  Attack effect not implemented
B2 133   Swellow                Ability not implemented
B2 142   Tandemaus              Attack effect not implemented
B2 143   Maushold               Attack effect not implemented
B2 151   Juggler                Trainer logic not implemented
B2 157   Roserade               Attack effect not implemented
B2 159   Buzzwole               Attack effect not implemented
B2 161   Oricorio               Attack effect not implemented
B2 163   Aurorus                Attack effect not implemented
B2 165   Minun                  Attack effect not implemented
B2 169   Indeedee               Attack effect not implemented
B2 171   Tyrantrum              Attack effect not implemented
B2 172   Falinks                Ability not implemented
B2 173   Alolan Muk             Ability not implemented
B2 174   Purrloin               Attack effect not implemented
B2 175   Yveltal                Attack effect not implemented
B2 177   Galarian Perrserker    Ability not implemented
B2 184   Toxtricity ex          Attack effect not implemented
B2 187   Gigalith ex            Attack effect not implemented
B2 192   Juggler                Trainer logic not implemented
B2 198   Toxtricity ex          Attack effect not implemented
B2 200   Gigalith ex            Attack effect not implemented
B2 217   Latios                 Ability not implemented
B2 221   Kabutops               Attack effect not implemented
B2a 013  Scovillain             Attack effect not implemented
B2a 026  Wugtrio                Attack effect not implemented
B2a 028  Palafin                Attack effect not implemented
B2a 031  Veluza                 Attack effect not implemented
B2a 062  Ting-Lu                Attack effect not implemented
B2a 063  Koraidon               Attack effect not implemented
B2a 070  Grafaiai               Attack effect not implemented
B2a 074  Tinkaton               Attack effect not implemented
B2a 080  Oinkologne             Attack effect not implemented
B2a 082  Maushold               Attack effect not implemented
B2a 084  Cyclizar               Attack effect not implemented
B2a 089  Iono                   Trainer logic not implemented
B2a 092  Penny                  Trainer logic not implemented
B2a 099  Maushold               Attack effect not implemented
B2a 106  Iono                   Trainer logic not implemented
B2a 109  Penny                  Trainer logic not implemented
B2b 004  Illumise               Attack effect not implemented
B2b 013  Magmortar              Attack effect not implemented
B2b 017  Lapras                 Attack effect not implemented
B2b 030  Mew                    Attack effect not implemented
B2b 032  Grumpig                Attack effect not implemented
B2b 035  Groudon                Attack effect not implemented
B2b 046  Forretress             Attack effect not implemented
B2b 070  Lapras                 Attack effect not implemented
B2b 072  Groudon                Attack effect not implemented
B2b 085  Mew                    Attack effect not implemented
B2b 086  Mew                    Attack effect not implemented
B2b 104  Forretress             Attack effect not implemented
B3 009   Surskit                Attack effect not implemented
B3 013   Budew                  Attack effect not implemented
B3 025   Victini                Ability not implemented
B3 039   Quagsire               Attack effect not implemented
B3 045   Regice                 Attack effect not implemented
B3 051   Rapid Strike Urshifu   Attack effect not implemented
B3 061   Toxtricity             Attack effect not implemented
B3 067   Diancie                Attack effect not implemented
B3 068   Oricorio               Attack effect not implemented
B3 089   Meloetta               Attack effect not implemented
B3 108   Amoonguss              Attack effect not implemented
B3 110   Mandibuzz              Attack effect not implemented
B3 112   Malamar                Attack effect not implemented
B3 113   Single Strike Urshifu  Attack effect not implemented
B3 114   Zarude                 Attack effect not implemented
B3 118   Bronzong               Attack effect not implemented
B3 130   Dunsparce              Attack effect not implemented
B3 134   Regigigas              Ability not implemented
B3 136   Watchog                Attack effect not implemented
B3 159   Budew                  Attack effect not implemented
B3 162   Quagsire               Attack effect not implemented
B3 166   Oricorio               Attack effect not implemented
B3 170   Meloetta               Attack effect not implemented
B3 175   Malamar                Attack effect not implemented
B3a 022  Espathra               Attack effect not implemented
B3a 025  Scream Tail            Attack effect not implemented
B3a 033  Garganacl              Ability not implemented
B3a 035  Sandy Shocks           Attack effect not implemented
B3a 039  Weavile                Attack effect not implemented
B3a 040  Sableye                Attack effect not implemented
B3a 043  Kingambit              Attack effect not implemented
B3a 045  Glimmora               Ability not implemented
B3a 053  Walking Wake           Attack effect not implemented
B3a 054  Gouging Fire           Attack effect not implemented
B3a 055  Raging Bolt            Attack effect not implemented
B3a 058  Farigiraf              Attack effect not implemented
B3a 060  Dudunsparce            Attack effect not implemented
B3a 078  Glimmora               Ability not implemented
B3a 079  Raging Bolt            Attack effect not implemented
B3b 030  Sylveon                Ability not implemented
B3b 033  Enamorus               Attack effect not implemented
B3b 035  Flutter Mane           Attack effect not implemented
B3b 037  Quagsire               Attack effect not implemented
B3b 047  Toxapex                Attack effect not implemented
B3b 073  Sylveon                Ability not implemented
B3b 096  Ampharos               Attack effect not implemented
P-A 003  Hand Scope             Trainer logic not implemented
P-A 004  Pokédex                Trainer logic not implemented
P-A 008  Pokédex                Trainer logic not implemented
P-A 028  Volcarona              Attack effect not implemented
P-A 047  Staraptor              Ability not implemented
P-A 066  Mimikyu                Attack effect not implemented
P-A 073  Toucannon              Attack effect not implemented
P-A 081  Ultra Necrozma ex      Attack effect not implemented
P-A 095  Chinchou               Attack effect not implemented
P-A 096  Houndoom               Attack effect not implemented
P-A 097  Kangaskhan             Attack effect not implemented
P-A 107  Miltank                Attack effect not implemented
P-A 113  Mimikyu                Attack effect not implemented
P-B 013  Arcanine               Attack effect not implemented
P-B 014  Magikarp               Attack effect not implemented
P-B 034  Smoliv                 Attack effect not implemented
P-B 038  Tinkaton               Attack effect not implemented
P-B 049  Victini                Ability not implemented
P-B 060  Zarude                 Attack effect not implemented
P-B 068  Dudunsparce            Attack effect not implemented
P-B 070  Sableye                Attack effect not implemented

==================================================
Summary:
  Total cards:      364
  Complete:         0 (0.0%)
  Incomplete:       364 (100.0%)

  Breakdown by issue:
    Attack effect not implemented: 240
    Ability not implemented: 71
    Trainer logic not implemented: 46
    Tool not implemented: 7
